Localidad,id_Localidad
Colonia Juliá y Echarren,926
Colonia La Argentina,927
Colonia Las Cuatro Esquinas,928
Colonia Las Pichanas,929
Colonia Las Rosas,930
Colonia Libertad,931
Colonia Liebig's,932
Colonia Malligasta,933
Colonia Margarita,934
Colonia Marina,935
Colonia Mauricio,936
Colonia Mayo - Barrio La Milagrosa,937
Colonia Merou,938
Colonia Médici,939
Colonia Nievas,940
Colonia Nueva Coneta,941
Colonia Ortiz de Ocampo,942
Colonia Pando,943
Colonia Pastoril,944
Colonia Peña,945
Colonia Polana,946
Colonia Popular,947
Colonia Prosperidad,948
Colonia Raquel,949
Colonia Rosa,950
Colonia San Adolfo,951
Colonia San Bartolomé,952
Colonia San José,953
Colonia San Juan,954
Colonia San Martín,955
Colonia San Miguel,956
Colonia San Miguel Arcángel,957
Colonia San Pedro,958
Colonia San Ricardo (Est. Iriarte),959
Colonia Santa María,960
Colonia Santa Rosa,961
Colonia Sarmiento,962
Colonia Segovia,963
Colonia Seré,964
Colonia Suiza,965
Colonia Tinco,966
Colonia Tirolesa,967
Colonia Valtelina,968
Colonia Veinticinco,969
Colonia Vicente Agüero,970
Colonia Vichigasta,971
Colonia Victoria,972
Colonia Videla,973
Colonia Vignaud,974
Colonia Yeruá,975
Colonia Zubelzu,976
Colonia del Valle,977
Colonias Unidas,978
Colpes,979
Colón,980
Comallo,981
Comandante Fontana,982
Comandante Luis Piedrabuena,983
Comandante Nicanor Otamendi,984
Comicó,985
Comodoro Py,986
Comodoro Rivadavia,987
Cona Niyeu,988
Concarán,989
Concepción,990
Concepción de la Sierra,991
Concepción del Bermejo,992
Concepción del Uruguay,993
Concordia,994
Conesa,995
Coneta,996
Conhelo,997
Conlara,998
Conscripto Bernardi,999
Constanza,1000
Contralmirante Cordero,1001
Copacabana,1002
Copahue,1003
Copetonas,1004
Copo Quile,1005
Coranzuli,1006
Corcovado,1007
Cordobita,1008
Cordón del Plata,1009
Coronda,1010
Coronel Alzogaray,1011
Coronel Arnold,1012
Coronel Baigorria,1013
Coronel Belisle,1014
Coronel Boerr,1015
Coronel Bogado,1016
Coronel Brandsen,1017
Coronel Charlone,1018
Coronel Cornejo,1019
Coronel Dorrego,1020
Coronel Du Graty,1021
Coronel Fraga,1022
Coronel Hilario Lagos (Est. Aguas Buenas),1023
Coronel Juan Solá,1024
Coronel Manuel L. Rico,1025
Coronel Martínez de Hoz (Ap. Kilómetro 322),1026
Coronel Moldes,1027
