Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,link,Latitud,Longitud,id_Provincia,id_Localidad,id_Partido
3282,--,--,--,SI,--,SI,SI,SI,SI,22154030.0,"-26,7000971775462","-59,6277421824927",3,978,387
277,--,--,--,--,--,--,--,--,--,22154040.0,"-27,0032121063146","-59,4825136520473",3,1701,387
3711,--,--,--,--,SI,SI,SI,SI,SI,22154050.0,"-26,6193460346699","-59,8042763819042",3,2071,387
1519,--,--,--,SI,SI,--,SI,SI,SI,22161010.0,"-27,6553304709616","-59,8624460245382",3,791,400
1323,--,--,--,--,--,--,SI,--,SI,22161020.0,"-27,5303116601138","-59,5765171513905",3,1053,400
77,--,--,--,--,--,--,--,--,--,22161030.0,"-27,5077849029352","-60,1635277537413",3,1645,400
122,--,--,--,--,--,--,--,--,--,22161040.0,"-27,5427589336639","-59,9578541039413",3,1666,400
242,--,--,--,--,--,--,--,--,--,22161050.0,"-27,8738009106984","-59,939569589112",3,1979,400
59,--,--,--,--,SI,--,--,--,--,26007010.0,"-42,0119886969656","-65,3064500926092",4,227,42
81315,SI,SI,SI,SI,SI,SI,SI,SI,SI,26007020.0,"-42,7550996783449","-65,0422298178163",4,2848,42
565,--,--,--,--,SI,SI,SI,SI,SI,26007030.0,"-42,5736171931039","-64,2836893467339",4,2853,42
626,--,--,--,--,--,SI,--,SI,SI,26007040.0,"-42,811590013144","-65,051417803805",4,2902,42
30680,SI,SI,--,SI,--,SI,SI,SI,SI,14028050.0,"-30,7218592173102","-64,8077377312137",5,1076,116
1749,--,--,--,SI,--,SI,--,--,--,14028060.0,"-30,6722100581192","-64,8699070292303",5,1198,116
129,--,--,--,--,--,--,--,--,--,14028070.0,"-30,7491607666016","-64,6445159912109",5,1312,116
320,--,--,--,--,--,SI,--,--,--,14028080.0,"-30,4794131800612","-65,0597627738017",5,1618,116
560,--,--,--,--,SI,--,--,--,--,14028090.0,"-30,7628592235779","-64,6459839334075",5,1840,116
96,--,--,--,--,--,SI,--,--,--,14028100.0,"-30,4417646532675","-65,4238386532105",5,1841,116
404,SI,--,--,--,--,SI,SI,--,SI,14028110.0,"-31,0139548417914","-65,1020313666951",5,1907,116
149,--,--,--,--,--,--,--,--,--,14028120.0,"-30,9332479488458","-64,7189758691612",5,2056,116
937,--,--,--,SI,--,SI,--,--,--,14028130.0,"-30,6895900139602","-64,8508831281017",5,2108,116
311,--,--,--,SI,--,SI,--,--,--,14028140.0,"-30,5724823864554","-64,9410778222467",5,2198,116
800,--,--,--,--,--,SI,--,--,--,14028150.0,"-30,6233104657952","-64,9515406139404",5,2394,116
1033,SI,--,--,--,--,SI,SI,SI,SI,14028160.0,"-30,7686835768001","-65,1864700189142",5,2653,116
943,--,SI,--,SI,--,SI,SI,SI,SI,14028170.0,"-30,7803420622583","-64,6468515131076",5,3163,116
2441,SI,--,--,SI,--,SI,SI,SI,SI,14028180.0,"-30,6392026300348","-65,3813009621884",5,3286,116
907,--,--,--,--,--,SI,--,--,--,14028190.0,"-30,7485284753417","-65,2375410689391",5,3451,116
4112,SI,--,--,SI,SI,SI,SI,SI,SI,6357080.0,"-38,1757779275595","-57,6513390003209",0,787,173
196,--,--,--,--,--,SI,SI,--,--,6357090.0,"-38,2369312519788","-57,763418077922",0,1265,173
0,--,--,--,--,--,--,--,SI,SI,6357090.0,"-37,888665236683","-57,6000121501773",0,1380,173
1633,SI,--,--,SI,SI,SI,--,SI,SI,6357100.0,"-38,036727731373","-57,7129897398616",0,1389,173
560913,SI,SI,SI,SI,SI,SI,SI,SI,SI,6357110.0,"-38,0120914785136","-57,6064947153173",0,2346,173
0,--,--,--,--,--,--,--,SI,SI,6351020.0,"-38,0833774287933","-57,5859350936487",0,2876,173
4249,SI,--,--,SI,--,SI,SI,SI,SI,6357120.0,"-37,954166706805","-57,7715971022228",0,3294,173
0,--,--,--,SI,--,--,--,SI,SI,6364030.0,"-34,6882159472973","-58,9574297137089",0,464,175
0,--,--,--,--,--,--,--,SI,SI,6364030.0,"-34,555","-58,935",0,1055,175
131699,SI,SI,SI,SI,SI,SI,SI,SI,SI,2000010.0,"-34,6092276891202","-58,4217452253939",1,20,51
