id_Provincia,Año,Trimestre,Banda ancha fija,Dial up,Total
9,2014,2,34359,2,34361
10,2014,2,55048,580,55628
11,2014,2,15889,23,15912
12,2014,2,165046,1761,166807
13,2014,2,74689,0,74689
14,2014,2,90053,2235,92288
15,2014,2,94812,1145,95957
16,2014,2,91949,25,91974
17,2014,2,50891,755,51646
18,2014,2,12691,364,13055
19,2014,2,26710,459,27169
20,2014,2,511753,605,512358
21,2014,2,38002,9,38011
22,2014,2,27443,766,28209
23,2014,2,131981,88,132069
0,2014,1,2725732,14144,2739876
1,2014,1,1289204,10714,1299918
2,2014,1,24209,23,24232
3,2014,1,62520,36,62556
4,2014,1,68205,2016,70221
5,2014,1,566705,205,566910
6,2014,1,62203,33,62236
7,2014,1,134216,115,134331
8,2014,1,25335,87,25422
9,2014,1,33825,2,33827
10,2014,1,53601,592,54193
11,2014,1,15688,23,15711
12,2014,1,164084,1761,165845
13,2014,1,73950,0,73950
14,2014,1,88077,2303,90380
15,2014,1,93909,1157,95066
16,2014,1,91265,25,91290
17,2014,1,50543,755,51298
18,2014,1,12193,364,12557
19,2014,1,26304,460,26764
20,2014,1,506000,612,506612
21,2014,1,37124,9,37133
22,2014,1,27272,766,28038
23,2014,1,129944,88,130032
