Año,Trimestre,id_Provincia,<0.512 mbps,0.512 - 1 Mbps,1 - 6 Mbps,6 - 10 Mbps,10 - 20 Mbps,20 - 30 Mbps,>=30 Mbps,Otros,Total,Total2,Diferencia
2021,1,13,510,5240,40949,25503,27101,1405,32953,8256,149387,141917,7470
2021,1,14,1160,3270,56171,8443,5903,5677,50840,5758,133235,137222,-3987
2021,1,15,1250,4660,70011,4187,13045,3642,29589,20103,141168,146487,-5319
2021,1,16,1090,200,40785,68149,9164,8139,54889,6319,187574,188735,-1161
2021,1,17,250,1940,60439,8580,11494,3400,276,4641,78267,91020,-12753
2021,1,18,580,0,11889,2926,4429,62913,22,36917,119154,119676,-522
2021,1,19,500,0,30655,8334,6987,1337,647,-1945,46065,46515,-450
2021,1,20,5180,8910,201632,204458,91846,65476,236924,24382,826127,838808,-12681
2021,1,21,1230,9090,33884,58464,8549,7000,4868,4144,111641,127229,-15588
2021,1,22,170,0,21379,1468,4317,4860,919,11836,40422,44949,-4527
2021,1,23,290,970,42810,53416,25255,4188,103437,268,231912,230634,1278
2020,4,0,36939,31197,1109865,242243,214171,213588,2176242,9016,4033261,4033261,0
2020,4,1,1350,2440,160210,78123,60208,80269,1000073,2680,1379530,1385353,-5823
2020,4,2,710,0,8843,874,11436,5910,20406,2309,52396,50488,1908
2020,4,3,3010,1120,24782,22479,26802,15701,40949,7965,139091,142808,-3717
2020,4,4,1060,1090,88157,21824,12046,2818,1112,4402,130574,132509,-1935
2020,4,5,1190,2386,214963,135262,82221,70013,384169,13568,902701,903772,-1071
2020,4,6,670,5270,31900,26321,25687,9383,26789,4985,125659,131005,-5346
2020,4,7,1050,2911,65659,53556,40755,166,53141,14654,247381,231892,15489
2020,4,8,560,0,23540,7606,7181,1197,8946,168,50206,49198,1008
2020,4,9,490,1820,23772,14379,4493,4460,19282,2811,105851,71507,34344
2020,4,10,2980,5540,70184,8124,6562,2396,6257,252,96895,102295,-5400
2020,4,11,180,10,36906,606,4633,1810,4979,0,52778,49124,3654
2020,4,12,280,400,146312,11172,40396,3378,11557,257,215453,213752,1701
2020,4,13,510,5240,39988,26078,26445,1481,32264,7001,147161,139007,8154
2020,4,14,1160,3270,56434,8478,5791,5493,50776,572,133135,131974,1161
2020,4,15,1250,4660,70305,4153,13131,3512,29372,20146,141210,146529,-5319
2020,4,16,1090,5140,41443,68829,15188,8291,46697,6319,187390,192997,-5607
2020,4,17,250,1940,61316,7400,5126,3320,275,4588,72596,84215,-11619
2020,4,18,580,0,14020,349,2688,62239,22,36918,119435,116816,2619
2020,4,19,470,0,27173,4382,6634,1033,647,7580,40674,47919,-7245
2020,4,20,5180,8910,206372,203793,94246,65145,226246,23602,820813,833494,-12681
2020,4,21,1230,9090,34518,5759,4666,4110,4520,3932,106669,67825,38844
2020,4,22,170,0,21881,6119,3497,4880,922,669,39614,38138,1476
2020,4,23,290,970,44095,54334,32155,4105,93594,268,231089,229811,1278
2020,3,0,37542,31514,1113823,23471,219772,194248,2085815,19853,3937277,3726038,211239
2020,3,1,2640,3120,162222,85083,68753,78028,977766,2470,1372675,1380082,-7407
2020,3,2,630,0,8276,8768,11195,5620,18886,2154,49904,55529,-5625
2020,3,3,3080,1120,24675,21639,27546,13751,38729,7194,133954,137734,-3780
2020,3,4,1580,1090,87559,22114,12217,2818,1110,3942,130027,132430,-2403
